2021-01-15 21:06:13 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@a44e408 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:06:13 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2dde4e76 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:20:23 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2d7eeef2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 22:02:13 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-ucenter] & group[DEFAULT_GROUP]
2021-01-15 22:02:13 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-ucenter.yaml] & group[DEFAULT_GROUP]
2021-01-15 22:02:13 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-ucenter-dev.yaml] & group[DEFAULT_GROUP]
2021-01-15 22:02:15 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-15 22:02:15 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-15 23:15:22 |WARN  |http-nio-8160-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7136f0ec (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 23:15:27 |WARN  |http-nio-8160-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@25611bff (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 23:15:32 |WARN  |http-nio-8160-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2d044e9d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 23:15:32 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7bac62d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 23:15:37 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2ee679e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 23:16:42 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@786515e1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
