2021-01-15 04:20:46 |WARN  |http-nio-8110-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@660d31e8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 04:20:51 |WARN  |http-nio-8110-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@48358603 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 04:23:37 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu] & group[DEFAULT_GROUP]
2021-01-15 04:23:37 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu-dev.yaml] & group[DEFAULT_GROUP]
2021-01-15 04:23:39 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-15 04:23:39 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-15 04:25:51 |WARN  |http-nio-8110-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@559bb93b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 04:25:51 |WARN  |http-nio-8110-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5fb0a36e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 04:25:56 |WARN  |http-nio-8110-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3094fed6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 04:25:57 |WARN  |http-nio-8110-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4c012ce3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
